num fastfair pgm alex xindex learngroup
3.57 0.621082 0.730832 0.378476 1.705080 2.892540
3.58 0.626718 0.595615 0.383493 1.691060 2.938300
3.59 0.622720 0.547873 0.383303 1.681870 2.942360
3.6 0.623249 0.899901 0.380293 1.664060 2.857530
3.61 0.624002 0.548463 0.376144 1.640650 2.896450
3.62 0.626844 0.629052 0.384561 1.687870 3.008340
3.63 0.626612 0.692263 0.383479 1.692560 3.171180
3.64 0.622475 0.560037 0.385164 1.729140 2.873930
3.65 0.630021 0.597460 0.388116 1.742560 3.016810
3.66 0.628858 0.537902 15.437500 1.735520 2.938080
3.67 0.630126 4.751610 0.421057 1.764160 3.097670
3.68 0.638053 0.633439 0.411962 1.762650 3.057400
3.69 0.643492 0.558100 0.404363 1.770440 3.018130
3.7 0.633003 0.699179 0.392885 1.783270 3.040430
3.71 0.641859 0.627852 0.394549 1.792140 2.989590
3.72 0.638270 0.547599 0.393817 1.799520 3.234960
3.73 0.638392 0.904362 0.395034 1.804020 3.127630
3.74 0.634704 0.546731 0.394578 1.807910 2.965110
3.75 0.640909 0.585214 0.398406 1.835630 2.931990
3.76 0.644557 0.729493 0.398246 1.958490 3.036800
3.77 0.637087 0.547739 0.394482 1.952020 2.987850
3.78 0.637572 0.610359 0.396357 1.911550 3.065190
3.79 0.641668 0.543601 0.396023 1.897850 3.004420
3.8 0.627485 1.327550 0.387491 1.859230 3.213560
3.81 0.632409 0.595279 0.388417 1.860720 2.953350
3.82 0.632803 0.559562 0.390607 1.888820 2.968960
3.83 0.633368 0.694895 0.386255 1.897590 3.005160
3.84 0.631397 0.537385 0.388320 2.045220 3.003910
3.85 0.638875 0.633256 0.389682 2.065450 3.102460
3.86 0.630855 0.883960 0.390158 2.000840 3.021100
3.87 0.621968 0.569347 0.379175 1.922740 3.030420
3.88 0.636348 0.594062 0.387872 2.000780 3.346850
3.89 0.639830 0.728109 0.389554 1.951670 3.021840
3.9 0.633530 0.548147 0.383480 1.674130 3.023630
3.91 0.630342 0.610834 0.387826 1.679960 3.085960
3.92 0.640738 0.538059 0.392603 1.706480 3.080050
3.93 0.641021 2.632200 0.399160 1.699310 3.110480
3.94 0.642663 0.680132 0.401747 1.686120 3.032140
3.95 0.646656 0.547157 0.401420 1.681210 3.058910
3.96 0.644913 0.699638 0.397540 1.679930 3.203230
3.97 0.642199 0.547925 0.394901 1.680370 3.001020
3.98 0.639852 0.632005 0.398502 1.676010 2.991690
3.99 0.643954 0.887521 0.400180 1.661360 3.036500
4 0.636321 0.558404 0.399573 1.623880 2.937370
4.01 0.643435 0.583029 0.403094 1.669530 3.023150
4.02 0.648005 0.547667 0.403159 1.637070 3.007350
4.03 0.635352 0.729802 0.399788 1.637270 3.002010
4.04 0.639441 0.597982 0.401163 1.627650 2.920780
4.05 0.642168 0.556381 0.403097 1.644590 3.172730
4.06 0.636374 1.284090 0.399155 1.625210 2.954150
4.07 0.633251 0.626697 0.399189 1.614230 3.033560
4.08 0.642598 0.545997 0.403466 1.683260 2.993190
4.09 0.639392 0.678443 0.397396 1.661050 2.985060
4.1 0.636377 0.559120 0.396812 1.651780 2.760490
4.11 0.635543 0.592810 0.400661 1.662390 2.834290
4.12 0.643077 0.911917 0.402196 1.676620 3.029130
4.13 0.618180 0.552272 0.391374 1.610140 3.092030
4.14 0.632460 0.606868 0.394915 1.655240 2.989010
4.15 0.648358 0.547819 0.399524 1.705010 3.041540
4.16 0.632249 0.720933 0.392146 1.681100 2.907760
4.17 0.634733 0.595823 0.397447 1.662300 2.913810
4.18 0.644600 0.537149 0.400383 1.693020 2.891700
4.19 0.636109 34.632000 0.396992 1.715750 2.873820
4.2 0.642951 0.661944 0.396708 1.699360 3.029840
4.21 0.651193 0.656259 0.397266 1.688020 2.938030
4.22 0.643838 0.696996 0.400680 1.701020 3.229460
4.23 0.643858 0.559394 0.399102 1.699480 3.051360
4.24 0.649292 0.596508 0.398564 1.691410 2.902140
4.25 0.652081 0.963816 0.397109 1.687970 2.930810
4.26 0.634403 0.536710 0.395780 1.683050 2.842790
4.27 0.639363 0.596649 0.395065 1.693320 2.848080
4.28 0.641119 0.558677 0.399186 1.695370 2.970710
4.29 0.633692 0.695995 0.393765 1.696140 3.097390
4.3 0.637956 0.628111 0.393953 1.696700 2.894010
4.31 0.645392 0.548767 0.390717 1.710340 3.144230
4.32 0.630341 1.444660 0.393872 1.705410 2.909040
4.33 0.634441 0.546074 0.395900 1.712740 2.815480
4.34 0.641515 0.630080 0.396313 1.714860 2.806880
4.35 0.640109 0.685022 0.399340 1.720240 2.991750
4.36 0.634018 0.547937 0.392692 1.711550 2.833770
4.37 0.638663 0.609177 0.395585 1.720820 2.864960
4.38 0.641829 0.548019 0.394703 1.715340 2.992250
4.39 0.636676 0.926262 0.393944 1.711420 2.855570
4.4 0.645652 0.596787 0.395719 1.733740 3.120370
4.41 0.638381 0.558961 0.396676 1.738500 2.908180
4.42 0.636482 0.696916 0.396396 1.735940 2.918420
4.43 0.635169 0.537812 0.397274 1.748150 2.836750
4.44 0.646428 0.634695 0.394178 1.742060 2.927870
4.45 0.638210 2.721800 0.396666 1.748990 2.803520
4.46 0.645808 0.608055 0.404293 1.745650 2.924620
4.47 0.651769 0.624020 0.404989 1.763180 2.923810
4.48 0.651398 0.727806 0.407360 1.749080 3.158880
4.49 0.641801 0.548333 0.400137 1.755390 2.929750
4.5 0.648387 0.607682 0.401207 1.743970 2.830440
4.51 0.648889 0.548577 0.400758 1.746670 2.819730
4.52 0.645429 0.885150 0.400967 1.744650 2.954100
4.53 0.650199 0.631186 0.403699 1.769960 2.801750
4.54 0.655022 0.547114 0.405792 1.767910 2.988650
4.55 0.648436 0.709073 0.406977 1.760270 2.934820
4.56 0.642140 0.543229 0.403224 1.759290 2.926750
4.57 0.646921 0.631783 0.402469 1.759460 3.132000
4.58 0.642672 1.298210 0.402097 1.800850 2.979220
4.59 0.639552 0.559755 0.398546 1.824530 2.974290
4.6 0.643942 0.582991 0.403204 1.837800 2.897820
4.61 0.646444 0.546372 0.402950 1.867980 2.993140
4.62 0.637662 0.728226 0.396086 1.845100 2.945530
4.63 0.643473 0.595218 0.399950 1.837010 2.864950
4.64 0.637091 0.559175 0.394046 1.789520 2.921230
4.65 0.638212 0.883130 0.402584 2.790740 2.829740
4.66 0.651193 0.628709 0.401730 2.125870 3.189140
4.67 0.647619 0.545387 0.401842 1.925070 2.974640
4.68 0.653740 0.704960 0.403589 1.887180 2.941030
4.69 0.646398 0.536686 0.401072 1.881430 2.913830
4.7 0.648703 0.594149 0.400231 1.849140 2.937380
4.71 0.643794 4.761850 0.406368 1.824750 2.945550
4.72 0.654829 0.594223 0.413975 1.824740 2.893680
4.73 0.655673 0.635471 0.412715 1.854330 2.996130
4.74 0.669312 0.548733 0.415780 1.837650 2.943690
4.75 0.644853 0.735108 0.406601 1.812540 3.106540
4.76 0.655429 0.599201 0.410960 1.813170 2.988800
4.77 0.651111 0.536708 0.407375 1.823300 2.938360
4.78 0.660824 0.917305 0.413616 1.836260 2.945970
